centrality,fLBC,betaScale,betaT,rho2Scale,rho2_L,rho2_p,DeltaSS,DeltaSS_Err,DeltaOS,DeltaOS_Err,GammaSS,GammaSS_Err,GammaOS,GammaOS_Err,DelDelta,DelDelta_Err,DelGamma,DelGamma_Err,v2_p,v2_p_Err,v2_L,v2_L_Err,v2,v2_Err
35,0.079,1.0,0.860267,0.25,0.0267,0.02916525,8.099607790473141e-05,6.444230755965508e-05,0.004441206522734093,6.437557228535615e-05,8.188175234993234e-05,6.44473398321716e-05,0.000833802022990824,6.42832674077501e-05,0.0043602104448293615,9.108800859981676e-05,0.0007519202706408916,9.102635925961073e-05,0.13113111894557083,0.00020866627223155906,0.1317327060148856,0.00040430776433373814,0.13125757848729266,0.00018542680739899392
25,0.079,1.0,0.864216,1.75,0.15407525,0.1623076,4.650681715384167e-05,4.914448749850545e-05,0.0030204589338427225,4.9112978182891634e-05,4.390685523774214e-05,4.914523569409571e-05,0.0006029889191290036,4.905919462767679e-05,0.002973952116688881,6.947852385798038e-05,0.0005590820638912614,6.944104527543123e-05,0.14121938897903194,0.0001952325319173688,0.13919968040547748,0.00037879468370985604,0.1407949882842153,0.00017353901933219872
55,0.09,1.0,0.798414,1.75,0.19029325,0.22586724999999996,4.371939789561893e-05,9.668468642037174e-05,0.01052491997489903,9.63240092995767e-05,0.00013128136099419796,9.668029932179351e-05,0.0027955059942043324,9.604446864328309e-05,0.010481200577003412,0.00013647799586655188,0.0026642246332101343,0.00013627773198113542,0.19607402658020814,0.0001988228251490274,0.18888978974824974,0.000385560416490428,0.1945598743872396,0.00017671281246637904
15,0.082,1.0,0.866228,2.0,0.140295,0.1299056,4.940643536866673e-06,5.693835855703905e-05,0.0020829412912316877,5.690713977501388e-05,-2.9906050895757923e-05,5.6936232249718865e-05,0.0003167892097071387,5.6866585109209694e-05,0.002078000647694821,8.050092690486805e-05,0.00034669526060289663,8.047075894246876e-05,0.10411756401673086,0.0002792696183949682,0.10510605040059803,0.0005413472239500355,0.1043253840209543,0.00024819008951365996
45,0.074,1.0,0.803845,1.5,0.1453713,0.178728,0.00012341025980825023,8.903962233347135e-05,0.006627662908628535,8.883737616281999e-05,0.00010847759733915757,8.904160984855911e-05,0.001591345879169684,8.865898008711297e-05,0.006504252648820284,0.00012577811315479966,0.0014828682818305264,0.00012565358345272175,0.17585356991254364,0.0002180484241534951,0.16920620649541993,0.00042510666005253137,0.17446490345967677,0.0001940166509757992
25,0.079,1.0,0.864216,2.0,0.176086,0.1854944,6.972501590239721e-05,4.9187524006856e-05,0.0029403538029127594,4.915837518521331e-05,-2.7685292572071533e-05,4.918731922009246e-05,0.0005654400056720747,4.910248114792222e-05,0.0028706287870103623,6.954105527510516e-05,0.0005931252982441463,6.950141025145702e-05,0.14586380451884876,0.00019504063959114242,0.14365333001649222,0.00037842498499216355,0.1453994247874594,0.00017336871443330014
45,0.074,1.0,0.803845,1.25,0.12114275000000001,0.14894,0.00017581565649990455,8.892501696192402e-05,0.0066442465614846595,8.873184129855261e-05,-5.564833906816764e-05,8.893089209473846e-05,0.0014845515889375914,8.856118208217744e-05,0.0064684309049847545,0.0001256224434641756,0.001540199928005759,0.00012550612152623713,0.16674829657750748,0.00021856694357589017,0.16165338015765104,0.00042590222901128685,0.1656842188766192,0.00019445679486588516
55,0.09,1.0,0.798414,1.5,0.1631085,0.19360049999999998,5.1359845504184875e-05,9.653089657581522e-05,0.010657918705154118,9.618663949060071e-05,-4.766207562221269e-07,9.652595126979757e-05,0.0028038217890051518,9.590208225019036e-05,0.010606558859649933,0.00013627209402597995,0.002804298409761374,0.00013606788250157203,0.18567377147482914,0.00019938869873279094,0.18014601368360583,0.00038663658091540306,0.1845093728851527,0.0001772129687401473
45,0.074,1.0,0.803845,1.0,0.0969142,0.119152,-9.283857647751394e-05,8.88258641758694e-05,0.006720450204657243,8.865037241427309e-05,-0.000214548757937329,8.88292781702263e-05,0.0013862580051322746,8.84766978553038e-05,0.0068132887811347565,0.00012549471174427753,0.0016008067630696036,0.00012537450587588435,0.15751386706151266,0.00021907876565524653,0.15364002511509775,0.0004267496386599379,0.15670427512934598,0.00019489752445651457
35,0.079,1.0,0.860267,0.75,0.0801,0.08749575,-6.434365242464983e-05,6.445361912647543e-05,0.004474719916552067,6.438578865744924e-05,2.092414218034925e-05,6.445079933510893e-05,0.000818373506904124,6.429249565819777e-05,0.004539063568976717,9.110323155378453e-05,0.0007974493647237747,9.103532574168039e-05,0.14552924278453608,0.0002079469164120601,0.1448976189942641,0.00040302915137640783,0.14539648110036738,0.00018479866976415873
25,0.079,1.0,0.864216,1.25,0.11005374999999999,0.11593400000000001,9.147609396631027e-05,4.905280766362812e-05,0.002915252245149621,4.902340365805394e-05,-3.043351240736664e-05,4.905189674527144e-05,0.000525346133403524,4.897346317467528e-05,0.0028237761511833107,6.935035721541303e-05,0.0005557796458108906,6.931441891576417e-05,0.12960750004311203,0.00019574498911867054,0.12884602369539463,0.000379501231361232,0.1294474922245682,0.00017396670715399252
55,0.09,1.0,0.798414,1.25,0.13592375,0.16133375,-4.38116213358502e-05,9.644602516100364e-05,0.01044720872841244,9.612411180633211e-05,4.188028818941721e-05,9.644765132185635e-05,0.0026843269859688186,9.583622877969087e-05,0.01049102034974829,0.00013616783996198655,0.0026424466977794017,0.00013596592290796846,0.17567119038937445,0.00019997643433021712,0.171193051222125,0.000387790582385869,0.1747284956660946,0.0001777363203751721
45,0.074,1.0,0.803845,1.75,0.16959985,0.20851599999999998,0.00011610102074124163,8.91282916757053e-05,0.006632762237789828,8.894594693099887e-05,4.185667866619793e-05,8.91354883195359e-05,0.0016072183935793272,8.877275339449837e-05,0.0065166612170485866,0.00012591756768807786,0.0015653617149131293,0.00012580038562422032,0.18529832675975033,0.00021740785192247704,0.17850234671903853,0.00042385365185688306,0.1838779670212973,0.00019344642975246604
15,0.082,1.0,0.866228,0.5,0.03507375,0.0324764,5.221461589372603e-07,5.675354856468966e-05,0.002229790162686894,5.672761922120142e-05,-2.5771518446489777e-05,5.675501395883613e-05,0.0002661874969349037,5.669030756943914e-05,0.002229268016527957,8.024330537303538e-05,0.0002919590153813935,8.021796919509551e-05,0.08068948724642933,0.00028014847045218386,0.08097458943491818,0.0005427991252833804,0.08074948274507326,0.0002489468331431047
35,0.079,1.0,0.860267,2.0,0.2136,0.233322,1.1011039746138328e-05,6.482295449372228e-05,0.004345170183919192,6.474869179864301e-05,-1.2596495502021783e-05,6.482359533570317e-05,0.0009734977663374937,6.465213796873496e-05,0.0043341591441730535,9.162100479110044e-05,0.0009860942618395154,9.155324929337756e-05,0.18036726181723617,0.00020604291181725804,0.17712151845668087,0.00039991002791775373,0.17968567302963603,0.00018316192531192126
45,0.074,1.0,0.803845,0.75,0.07268565,0.089364,-1.4440637772836471e-05,8.880924964668891e-05,0.006669886763347406,8.862822574824558e-05,-2.1211478370232445e-05,8.88181303094081e-05,0.00131376552490163,8.845421657620526e-05,0.006684327401120242,0.00012546730738359653,0.0013349770032718624,0.00012535074272523964,0.14771867130399535,0.00021965928633698681,0.14529297586431994,0.00042744952265402726,0.14721167774646166,0.00019537247052844035
35,0.079,1.0,0.860267,1.5,0.1602,0.1749915,-4.396646392989451e-05,6.46183975203886e-05,0.0043954596947070575,6.455042754556735e-05,-2.1545174723877783e-05,6.461833237785314e-05,0.0009971065522630333,6.44554124567952e-05,0.004439426158636952,9.133616476740472e-05,0.001018651726986911,9.126899295089376e-05,0.16699756637697813,0.00020675796158258587,0.16490032748169747,0.0004010632670720038,0.16655681123582042,0.00018377481006060965
55,0.09,1.0,0.798414,0.25,0.02718475,0.03226675,-4.9533914735811086e-05,9.624054969664205e-05,0.010293170633289031,9.588354663071932e-05,1.0984502116691814e-05,9.624516817336876e-05,0.0019358256685794704,9.560769268940029e-05,0.010342704548024842,0.0001358524858822876,0.0019248411664627785,0.0001356612077865697,0.1332347164385847,0.0002022638492049448,0.13273586037245894,0.00039166052845972655,0.13312963270967446,0.00017971406036869117
25,0.079,1.0,0.864216,0.25,0.02201075,0.0231868,3.377704469390954e-05,4.8994997427062167e-05,0.002889630446179621,4.896471080506549e-05,2.744156321602315e-05,4.89944038699753e-05,0.0003137832774911346,4.891388559261479e-05,0.002855853401485711,6.926797728461201e-05,0.00028634171427511146,6.923163882461297e-05,0.10745907591719382,0.0001966028597973874,0.1083592577115913,0.00038099024633347396,0.10764831753843232,0.00017471235308795982
35,0.079,1.0,0.860267,1.75,0.1869,0.20415675,-6.270156022547982e-06,6.470531195110259e-05,0.004248024236399953,6.464151357688334e-05,-8.348291061888309e-05,6.470379947734828e-05,0.0009301614040916944,6.454540761316149e-05,0.004254294392422501,9.146202858126367e-05,0.0010136443147105774,9.13930594233176e-05,0.17408542627543075,0.00020636747802049154,0.17017090218608885,0.0004006461115074826,0.1732633671144794,0.00018346082127186836
