centrality,fLBC,betaScale,betaT,rho2Scale,rho2_L,rho2_p,DeltaSS,DeltaSS_Err,DeltaOS,DeltaOS_Err,GammaSS,GammaSS_Err,GammaOS,GammaOS_Err,DelDelta,DelDelta_Err,DelGamma,DelGamma_Err,v2_p,v2_p_Err,v2_L,v2_L_Err,v2,v2_Err
55,0.09,0.96,0.76647744,1.0,0.108739,0.129067,-1.0137805301073374e-05,9.914820448199982e-05,0.010217249235341858,9.876244856309388e-05,8.496407814089834e-05,9.914965209460995e-05,0.002366775745786185,9.850002585058125e-05,0.010227387040642931,0.0001399442306713007,0.002281811667645287,0.00013976018246642126,0.16300768649847366,0.00020355935037554771,0.15899058551094697,0.00039463396633946133,0.16216183535455475,0.0001809105566979894
25,0.079,0.96,0.82964736,1.0,0.088043,0.0927472,3.85342540559465e-05,5.0726152486456725e-05,0.002899777286612558,5.0681745846858997e-05,-3.111919610505827e-05,5.072560673966933e-05,0.0004994331921284022,5.063435633038745e-05,0.0028612430325566113,7.17062194524636e-05,0.0005305523882334605,7.167234627176812e-05,0.12446857587911785,0.0001992654414372111,0.12417690251847587,0.0003860353587201523,0.12440720280896808,0.00017706739253008915
35,0.079,0.8,0.6882136000000001,1.0,0.1068,0.116661,-6.285781935154874e-05,7.617492166600444e-05,0.003667538424404748,7.603105576776804e-05,-4.4239524459454145e-05,7.617427707172184e-05,0.0009862446018812567,7.596799813389489e-05,0.003730396243756297,0.00010762592685772033,0.0010304841263407108,0.00010758093338445668,0.1458516258990153,0.00022569908674850207,0.1443335359801836,0.00043737147790578573,0.1455321432049691,0.00020056863289219233
55,0.09,1.1,0.8782554,1.0,0.108739,0.129067,-3.385774959752263e-06,9.010456626141629e-05,0.011508260423061682,8.986889565035563e-05,-5.44942621136072e-05,9.011805334111876e-05,0.0024222994084982306,8.95399223243259e-05,0.011511646198021435,0.00012726056445958608,0.002476793670611838,0.00012703803063586526,0.1645899998347866,0.00019407700443683018,0.16130703447714162,0.0003767352395217342,0.1639006038482084,0.00017252963720344023
35,0.079,0.4,0.34410680000000005,1.0,0.1068,0.116661,-0.00012622989324633226,9.929878950146056e-05,0.00162503549778716,9.901497716732387e-05,-5.221016157203761e-05,9.928789331385087e-05,0.0008620713713640225,9.901623879505017e-05,0.0017512653910334922,0.00014022915281745462,0.0009142815329360602,0.00014022232812152646,0.08940941017087099,0.00026070564801187194,0.0886218838303272,0.000506123171023232,0.08924418637080081,0.00023176528178946206
35,0.079,1.1,0.9462937000000001,1.0,0.1068,0.116661,0.00016202067153629415,6.211736134656611e-05,0.004472832984006219,6.207484934906892e-05,0.000146989618079499,6.211807875425377e-05,0.0005326227380764458,6.196362178033115e-05,0.004310812312469925,8.781715949841163e-05,0.00038563311999694687,8.773907984618714e-05,0.13993485496033367,0.00020379769368183314,0.1334773738284773,0.0004005660901907114,0.13860436863974168,0.00018164160180322432
55,0.09,0.4,0.3193656,1.0,0.108739,0.129067,0.0001411170822008868,0.00013594359113310362,0.0035090191234054846,0.00013500463332701088,5.8843695018423394e-05,0.00013594970324199506,0.0015485106215850587,0.00013496802292171386,0.0033679020412045978,0.00019159047729447594,0.0014896669265666352,0.00019156901895396028,0.08301583758417992,0.00024247820690859035,0.07900252152907111,0.00047056466789068056,0.08217317929025054,0.00021554522444886895
55,0.09,0.8,0.6387312,1.0,0.108739,0.129067,-8.676661682040691e-05,0.00011056654098205165,0.00842554418372288,0.00011001266075062601,0.00010455347410501072,0.00011057213203610687,0.002423827125948814,0.00010985243710579254,0.008512310800543288,0.00015597354105798854,0.002319273651843803,0.0001558645383693557,0.15015612732942887,0.00021558995525140087,0.14541319278564807,0.0004178036552390416,0.1491576895771627,0.0001915879228236148
35,0.079,1.0,0.860267,1.0,0.1068,0.116661,-3.1840823431051415e-06,6.448737620861513e-05,0.0043163111494905725,6.441194925159405e-05,-2.340853257127382e-05,6.448902105341236e-05,0.0008688444982222441,6.431665636373437e-05,0.004319495231833678,9.114560272806027e-05,0.0008922530307935179,9.107944950557264e-05,0.15297007689463155,0.00020746421223748277,0.1512019566527255,0.0004027181130376936,0.15259886951009843,0.00018442990271300654
45,0.074,0.8,0.6430760000000001,1.0,0.0969142,0.119152,-6.000922650912929e-05,0.00010241466482065439,0.005558654936538368,0.00010209026613857231,0.0001636264605485737,0.0001024186148488537,0.001540681741762853,0.00010198987362006683,0.005618664163047497,0.00014460700539936338,0.0013770552812142794,0.00014453894626914588,0.14458206695726192,0.00023574744758045424,0.13969519200315492,0.00045924758481388956,0.14356163120091922,0.0002097293365590929
