centrality,fLBC,betaScale,betaT,rho2Scale,rho2_L,rho2_p,DeltaSS,DeltaSS_Err,DeltaOS,DeltaOS_Err,GammaSS,GammaSS_Err,GammaOS,GammaOS_Err,DelDelta,DelDelta_Err,DelGamma,DelGamma_Err,v2_p,v2_p_Err,v2_L,v2_L_Err,v2,v2_Err
25,0.06,1.0,0.864216,1.0,0.088043,0.0927472,2.6549039564258814e-05,4.892467105964749e-05,0.002345986362720753,4.889643429927495e-05,-4.653960655365656e-05,4.892534873753799e-05,0.0003720267138430637,4.885582363689407e-05,0.0023194373231564943,6.916996982418036e-05,0.00041856632039672027,6.914174753597864e-05,0.12416559201380309,0.0001953280903269423,0.12340120071967733,0.000381406463588038,0.12400675340858557,0.00017385537783059946
15,0.1,1.0,0.866228,1.0,0.0701475,0.0649528,-5.508717443717103e-05,5.690611422002084e-05,0.0024058617458763572,5.68780693040792e-05,6.0802707979140826e-05,5.6907750391742574e-05,0.0002969070518218617,5.682831128680064e-05,0.002460948920313528,8.045757020555427e-05,0.00023610434384272087,8.042356009502682e-05,0.08844323150236129,0.00028069985119396815,0.08816564096179673,0.0005404152034133934,0.08838423022874796,0.00024910123665497524
55,0.1,1.0,0.798414,1.0,0.108739,0.129067,4.341502418893399e-05,9.64216066395728e-05,0.011534201215924297,9.604332587186453e-05,3.60495546962734e-05,9.64131304277025e-05,0.002855848333347453,9.573159122640481e-05,0.011490786191735363,0.00013609352178368253,0.0028197987786511797,0.00013586769033735962,0.16474503659641562,0.00020093711031546498,0.16175410563297749,0.0003877091676041897,0.1641109202062301,0.00017840143676032906
55,0.06,1.0,0.798414,1.0,0.108739,0.129067,2.414595577808789e-05,9.613102048217697e-05,0.007413377491490977,9.58825031725623e-05,0.00014593852915332792,9.612580867645233e-05,0.0018192485355372648,9.568351244034489e-05,0.007389231535712889,0.00013577417837564384,0.001673310006383937,0.00013563003224442423,0.16529926838575382,0.00019975064198900742,0.16217979060102586,0.00039105144839796265,0.16465237007517025,0.00017788743611660602
15,0.16,1.0,0.866228,1.0,0.0701475,0.0649528,2.9943225848084024e-05,5.72777009014112e-05,0.0035704541168651944,5.723336787285698e-05,2.6071489226151437e-05,5.7278878428562e-05,0.0003773436486819104,5.716124857941312e-05,0.0035405108910171105,8.09715593194382e-05,0.000351272159455759,8.09214325947795e-05,0.08824427317087287,0.000283368612770379,0.08749636853938025,0.0005350059760103525,0.08808038804128074,0.0002504125861890694
45,0.06,1.0,0.803845,1.0,0.0969142,0.119152,5.604732454320436e-05,8.873622872978058e-05,0.005455582762491181,8.858828186066232e-05,-5.034973549962253e-05,8.873800924900673e-05,0.0011387669216483581,8.843986936746285e-05,0.005399535437947977,0.00012538740755039195,0.0011891166571479806,0.00012528385681807015,0.15770255661832117,0.00021861317984031196,0.15382876021951272,0.00042794279465070754,0.15689953320170835,0.00019468217537639838
25,0.1,1.0,0.864216,1.0,0.088043,0.0927472,5.394404227650863e-05,4.912122072387746e-05,0.003702539469236119,4.908011992931464e-05,1.550203441669044e-05,4.91222160563622e-05,0.0006511907352120778,4.9019115897985686e-05,0.0036485954269596106,6.943883997936456e-05,0.0006356887007953874,6.939643963279443e-05,0.12409719594985938,0.00019655952537243012,0.12288191141912132,0.0003785929571736979,0.12383901194708853,0.0001744491740536771
35,0.06,1.0,0.860267,1.0,0.1068,0.116661,6.259839071254104e-05,6.437543965067134e-05,0.0034955416670487257,6.43206452476567e-05,8.46730255359155e-05,6.437490697623002e-05,0.000713910042169354,6.425132336030441e-05,0.0034329432763361848,9.100188259202185e-05,0.0006292370166334385,9.095252168988317e-05,0.15304629420823967,0.0002068772979717382,0.1519479293293683,0.0004037123001579021,0.15281788649926334,0.00018411169909675945
55,0.16,1.0,0.798414,1.0,0.108739,0.129067,8.350137088808641e-05,9.684616651519913e-05,0.0165536695339486,9.627931021519608e-05,7.282957138124855e-05,9.685099295121005e-05,0.0038306008070359346,9.585227523201249e-05,0.016470168163060513,0.00013656092246394514,0.003757771235654686,0.00013626361767834,0.16492172967338584,0.00020249146778987057,0.15990148287378275,0.0003837918904676159,0.1638267158700954,0.00017909382430149673
15,0.06,1.0,0.866228,1.0,0.0701475,0.0649528,5.1972661974323125e-05,5.6702778732123416e-05,0.001564525449274828,5.6680746772353664e-05,-3.008460450408048e-05,5.669973857232609e-05,0.0001214050607774395,5.6646906554748024e-05,0.0015125527873005049,8.017426127265425e-05,0.00015148966528151996,8.014819010054112e-05,0.08842461934902954,0.00027901566098245575,0.08931870909567792,0.0005445715162733186,0.08861060303060402,0.0002483196472468353
25,0.16,1.0,0.864216,1.0,0.088043,0.0927472,6.210189674051642e-05,4.941060758951798e-05,0.0052715857814501525,4.93516289147482e-05,-8.534202991008909e-05,4.941153172294123e-05,0.0008208969970899798,4.9262167621175366e-05,0.005209483884709636,6.983545960974512e-05,0.0009062390270000689,6.977292186761284e-05,0.1241033274473785,0.00019836129244442445,0.12231072032550383,0.0003746815635728497,0.12371066638372605,0.00017530932968178603
35,0.16,1.0,0.860267,1.0,0.1068,0.116661,0.0001385235200212619,6.503997290063143e-05,0.0077906496434637165,6.491331995625778e-05,0.00010919769109589518,6.504215600359144e-05,0.001580258898888197,6.474578947196888e-05,0.007652126123442455,9.189089825797964e-05,0.0014710612077923017,9.177417562661101e-05,0.15217988554389006,0.0002101606787865067,0.150299407706595,0.0003965993119842701,0.15176753030271595,0.00018569955673392662
45,0.16,1.0,0.803845,1.0,0.0969142,0.119152,0.00023791541984876833,8.941250660249184e-05,0.012484837341776536,8.904285961248436e-05,0.0001723547943052496,8.940823930538723e-05,0.0026232254853402882,8.871442314223819e-05,0.012246921921927768,0.00012618727029660814,0.0024508706910350386,0.0001259526979828121,0.15694000385320336,0.00022161949766418806,0.153288320899506,0.0004200117972037204,0.15614410652784994,0.00019600766706406712
15,0.04,1.0,0.866228,1.0,0.0701475,0.0649528,-7.690703208235111e-05,5.660333958094061e-05,0.001035437223044073,5.659070949627534e-05,-1.952436284957805e-05,5.660128886481441e-05,0.00018358250225418746,5.656915010040041e-05,0.001112344255126424,8.004028019070839e-05,0.00020310686510376552,8.002358804902336e-05,0.08839561109565507,0.00027807300591494566,0.08924860194451838,0.0005469058054264251,0.08857083545738094,0.0002478728625450049
15,0.12,1.0,0.866228,1.0,0.0701475,0.0649528,9.424322703811391e-05,5.704912671051929e-05,0.002747389207462643,5.702021069385704e-05,-5.4789097341070324e-05,5.7052563101970734e-05,0.00025551554922419834,5.696189158669533e-05,0.002653145980424529,8.065920459566122e-05,0.0003103046465652687,8.062041955757106e-05,0.08875200645402606,0.0002816137744134701,0.08899620159470475,0.000538825375655108,0.08880439604091453,0.00024958184120406996
55,0.14,1.0,0.798414,1.0,0.108739,0.129067,-4.3916571998371626e-05,9.670379872552104e-05,0.015139456138964419,9.617225553926775e-05,-3.919791400437208e-05,9.669996735687656e-05,0.0034964221372688906,9.57849394751457e-05,0.015183372710962791,0.00013638448380756625,0.0035356200512732627,0.0001361089207843421,0.16465321740046904,0.00020194135703630246,0.16038780026373556,0.00038524256264808437,0.16373198197281966,0.00017885850937016535
55,0.02,1.0,0.798414,1.0,0.108739,0.129067,-1.5822765158704255e-05,9.587549180466005e-05,0.002576486142458729,9.579600354864229e-05,0.00013763927314505025,9.588071698056866e-05,0.00036172091500667644,9.572346247169629e-05,0.0025923089076174332,0.0001355322257792475,0.00022408164186162618,0.00013548466022497957,0.16518200339604208,0.00019862354053483338,0.1629769884304648,0.0003944588756523252,0.16473571890599906,0.00017740294937632802
15,0.08,1.0,0.866228,1.0,0.0701475,0.0649528,-3.2892758744478314e-05,5.682783428752471e-05,0.0021331306404867288,5.6797870803762945e-05,-2.3207636895450356e-05,5.682855198999765e-05,0.00023117649213343877,5.676109466862534e-05,0.002166023399231207,8.034550938074459e-05,0.0002543841290288891,8.032002358852065e-05,0.08861885659107319,0.00027994648402602493,0.0892752661757707,0.0005423650401347681,0.08875693270308747,0.0002487632296172224
25,0.14,1.0,0.864216,1.0,0.088043,0.0927472,4.3748289609030674e-05,4.933442125175449e-05,0.004842972311007902,4.927841570903678e-05,2.7109664163890064e-05,4.933401906833139e-05,0.000742102852991817,4.919967586978204e-05,0.004799224021398871,6.97298169726424e-05,0.0007149931888279268,6.967390862529601e-05,0.12392873816045419,0.00019784715691461907,0.12310552265421944,0.00037559621774292245,0.12374991011525548,0.00017504688365136618
25,0.02,1.0,0.864216,1.0,0.088043,0.0927472,-2.2212538613819755e-06,4.875649410561142e-05,0.000805116125021678,4.874461264364837e-05,1.4330240888278781e-05,4.8753997563653094e-05,7.807693744695161e-05,4.873014000019231e-05,0.00080733737888306,6.894369426749516e-05,6.374669655867282e-05,6.893169679381928e-05,0.12408561050219027,0.00019399867936250489,0.12369548645190194,0.0003848865997960128,0.12400655515027366,0.0001732367664645892
35,0.14,1.0,0.860267,1.0,0.1068,0.116661,6.577624747424466e-05,6.491307613174886e-05,0.00702521302923287,6.480957363935432e-05,-3.751216484688067e-05,6.49158618827934e-05,0.001350181747171705,6.465492269332852e-05,0.006959436781758626,9.172779452380348e-05,0.0013876939120185856,9.162056620904607e-05,0.15281915225498577,0.00020953233569244025,0.14977164260359968,0.0003981787709585399,0.15215725799156823,0.0001854261442578265
