cent,fit_ok,chi2,ndf,betaT,Tkin,n_flow,rho2_p,rho2_L,A_p,A_L,Rx
1020,1,81.7905,129,0.866228,0.137942,0.483535,0.0649459,0.0701394,1521.44,1780.57,9.15428
2030,1,53.0391,129,0.864082,0.134216,0.507042,0.0926934,0.0880093,1329.38,1591.81,8.82537
3040,0,36.9932,129,0.819766,0.163861,0.335976,0.108133,0.101918,181.997,167.468,8.64939
4050,0,26.0239,129,0.817805,0.1568,0.40257,0.12029,0.0977812,158.335,148.346,8.50408
5060,0,24.3733,129,0.805804,0.158797,0.457789,0.128153,0.106739,84.3105,75.1622,8.4295
